 bisection iteration 

iteration	f(Xn)	root	epsilon	error
iteration	f(Xn)	root	epsilon	error
0 -0.000953884185659 3.14254653792 0.14254653792 0.000953884330315
1 2.09750561704e-10 3.14159265338 0.000953884540065 2.0975043924e-10
2 1.22464679915e-16 3.14159265359 2.0975043924e-10 0.0
3 1.22464679915e-16 3.14159265359 0.0 0.0
4 1.22464679915e-16 3.14159265359 0.0 0.0
5 1.22464679915e-16 3.14159265359 0.0 0.0
6 1.22464679915e-16 3.14159265359 0.0 0.0
7 1.22464679915e-16 3.14159265359 0.0 0.0
8 1.22464679915e-16 3.14159265359 0.0 0.0
9 1.22464679915e-16 3.14159265359 0.0 0.0
10 1.22464679915e-16 3.14159265359 0.0 0.0
11 1.22464679915e-16 3.14159265359 0.0 0.0
12 1.22464679915e-16 3.14159265359 0.0 0.0
13 1.22464679915e-16 3.14159265359 0.0 0.0
14 1.22464679915e-16 3.14159265359 0.0 0.0
15 1.22464679915e-16 3.14159265359 0.0 0.0
16 1.22464679915e-16 3.14159265359 0.0 0.0
17 1.22464679915e-16 3.14159265359 0.0 0.0
18 1.22464679915e-16 3.14159265359 0.0 0.0
19 1.22464679915e-16 3.14159265359 0.0 0.0
20 1.22464679915e-16 3.14159265359 0.0 0.0
21 1.22464679915e-16 3.14159265359 0.0 0.0
22 1.22464679915e-16 3.14159265359 0.0 0.0
23 1.22464679915e-16 3.14159265359 0.0 0.0
24 1.22464679915e-16 3.14159265359 0.0 0.0
25 1.22464679915e-16 3.14159265359 0.0 0.0
26 1.22464679915e-16 3.14159265359 0.0 0.0
27 1.22464679915e-16 3.14159265359 0.0 0.0
28 1.22464679915e-16 3.14159265359 0.0 0.0
