 bisection iteration 

iteration	f(Xn)	root	epsilon	error
32 5.12748174013e-05 3.10443331355 0.000488676855732 0.0371593400441
33 4.93572152248e-05 3.10490265809 0.000469344540777 0.0366899955034
34 4.75590707613e-05 3.10535393381 0.000451275719135 0.0362387197842
35 4.58700778425e-05 3.1057882904 0.000434356596256 0.035804363188
36 4.42810562561e-05 3.10620677671 0.000418486310233 0.0353858768777
37 4.27838039914e-05 3.10661035188 0.000403575171102 0.0349823017066
38 4.13709719778e-05 3.10699989506 0.000389543177629 0.034592758529
39 4.00359574403e-05 3.10737621382 0.000376318762166 0.0342164397668
40 3.87728127391e-05 3.10774005155 0.00036383772393 0.0338526020429
41 3.75761671451e-05 3.10809209387 0.000352042318713 0.0335005597242
42 3.64411594713e-05 3.10843297434 0.000340880479067 0.0331596792451
43 3.53633798514e-05 3.10876327949 0.00033030514378 0.0328293741013
44 3.43388192566e-05 3.10908355317 0.000320273679312 0.032509100422
45 3.33638255833e-05 3.10939430055 0.000310747378884 0.0321983530431
46 3.24350653406e-05 3.10969599157 0.000301691027415 0.0318966620157
47 3.15494901268e-05 3.1099890641 0.000293072522481 0.0316035894933
48 3.07043072145e-05 3.11027392664 0.000284862543128 0.0313187269501

 newton method 

iteration	f(Xn)	root	epsilon	error
0 0.000828953038417 3.04751551069 0.0475155106852 0.0940771429046
1 0.00024513016029 3.07896739987 0.031451889182 0.0626252537226
2 7.25677306508e-05 3.09986981405 0.0209024141852 0.0417228395374
3 2.14932258194e-05 3.11378550202 0.0139156879665 0.027807151571
4 6.36726903667e-06 3.12305694176 0.00927143973641 0.0185357118346
5 1.88645443749e-06 3.12923621946 0.00617927770634 0.0123564341282
6 5.58930555782e-07 3.13335524018 0.00411902071997 0.00823741340826
7 1.65606572272e-07 3.13610110658 0.00274586639969 0.00549154700857
8 4.90682902049e-08 3.13793164053 0.00183053394538 0.00366101306319
9 1.45387104745e-08 3.1391519836 0.00122034307691 0.00244066998629
10 4.30776062392e-09 3.13996554185 0.000813558244804 0.00162711174148
11 1.27637281114e-09 3.1405079129 0.000542371046707 0.00108474069477
12 3.78184431635e-10 3.14086949327 0.000361580377306 0.000723160317469
13 1.12054624121e-10 3.14111054677 0.000241053494468 0.000482106823001
14 3.32013621909e-11 3.14127124907 0.000160702306804 0.000321404516198
15 9.83743704869e-12 3.14137838394 0.000107134866923 0.000214269649275
16 2.91479445484e-12 3.14144980719 7.14232449295e-05 0.000142846404346
17 8.63641997816e-13 3.14149742268 4.76154978326e-05 9.5230906513e-05
18 2.55893553476e-13 3.14152916635 3.17436663058e-05 6.34872402072e-05
19 7.58201423393e-14 3.14155032879 2.11624450142e-05 4.23247951931e-05
20 2.24651505227e-14 3.14156443709 1.41082972385e-05 2.82164979546e-05
21 6.65630633556e-15 3.14157384262 9.40553187556e-06 1.8810966079e-05
22 1.97222343216e-15 3.14158011298 6.27035484158e-06 1.25406112375e-05
23 5.84355581286e-16 3.14158429322 4.18023673365e-06 8.3603745038e-06
24 1.7313930945e-16 3.14158708004 2.78682460442e-06 5.57354989938e-06
25 5.12991618569e-17 3.14158893792 1.85788314644e-06 3.71566675295e-06
26 1.51991399343e-17 3.14159017651 1.23858881595e-06 2.47707793699e-06
27 4.50317671893e-18 3.14159100224 8.25725911646e-07 1.65135202534e-06
28 1.33415354974e-18 3.14159155272 5.5048396419e-07 1.10086806115e-06
29 3.95250940741e-19 3.14159191971 3.66989325595e-07 7.33878735559e-07
30 1.1708746693e-19 3.14159216437 2.44659561499e-07 4.8921917406e-07
31 3.46819495511e-20 3.14159232748 1.63106382622e-07 3.26112791438e-07
32 1.02714075983e-20 3.14159243621 1.08737594928e-07 2.1737519651e-07
33 3.04128014707e-21 3.14159250871 7.24917366135e-08 1.44883459896e-07
34 9.0018710065e-22 3.14159255703 4.83278315144e-08 9.65556283816e-08
35 2.66307708306e-22 3.14159258925 3.22185633728e-08 6.43370650089e-08
36 7.87219826831e-23 3.14159261073 2.1479054535e-08 4.28580104739e-08
37 2.32433675452e-23 3.14159262505 1.43193874536e-08 2.85386230203e-08
38 6.85070545071e-24 3.1415926346 9.54628509575e-09 1.89923379246e-08
39 2.01379338442e-24 3.14159264096 6.36422958777e-09 1.26281083368e-08
40 5.89582879843e-25 3.1415926452 4.24287893708e-09 8.38522939972e-09
41 1.71560147537e-25 3.14159264803 2.82867640422e-09 5.5565529955e-09
42 4.94564012382e-26 3.14159264992 1.88592119699e-09 3.67063179851e-09
43 1.40523207033e-26 3.14159265118 1.25749100022e-09 2.4131407983e-09
44 3.90317038877e-27 3.14159265202 8.38653591018e-10 1.57448720728e-09
45 1.04527005066e-27 3.14159265257 5.59619461882e-10 1.0148677454e-09
46 2.6330607994e-28 3.14159265295 3.73923558783e-10 6.40944186614e-10
47 5.94155786149e-29 3.1415926532 2.50732767881e-10 3.90211418733e-10
48 1.06949028765e-29 3.14159265337 1.69888991763e-10 2.20322426969e-10
